Name;Size;Type;Alignment;CR;XP;Arctic;Coastal;Desert;Forest;Grassland;Hill;Mountain;Swamp;Underdark;Underwater;Urban;Other Plane;source;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doom Golem;Large;Construct;Unaligned;2    ;450    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doombat;Large;Monstrosity;Unaligned;2    ;450    ;;;;;;;;;;;;;Fifth Edition Foes 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doomspeaker;Medium;Humanoid;Chaotic Evil;2    ;450    ;x;x;x;x;x;x;x;x;x;x;x;x;Creature Codex 399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doomwake Giant;Huge;Giant;Lawful Evil;2    ;450    ;;;;;;;;;;;;;Mythic Odysseys of Theros 224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doppelganger;Medium;Monstrosity;Neutral;2    ;450    ;;;;;;;;;;;x;;Monster Manual 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doppelrat;Tiny;Monstrosity;Unaligned;2    ;450    ;;;;;;;;;;;x;;Tome of Beasts 123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dorreq;Medium;Aberration;Neutral Evil;2    ;450    ;;x;x;x;x;x;x;x;x;x;;;Tome of Beasts 124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doty X;Medium;Construct;Not Provided;2    ;450    ;;;;;;;;;;;;;Tal'Dorei Campaign Setting Reborn 272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracoform Eremite Symbiont;Large;Aberration;Chaotic Evil;2    ;450    ;;;;;;;;;;;;x;Sandy Petersen's Cthulhu Mythos 310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracoform-Bound Eremite;Large;Aberration;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Sandy Petersen's Cthulhu Mythos 311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracohydra;Huge;Monstrosity;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconian Dreadnought;Large;Monstrosity;Any;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconian Footsoldier;Medium;Monstrosity;Any;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconian Infiltrator;Medium;Monstrosity;Any;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconian Mage;Medium;Monstrosity;Any;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconian Mastermind;Medium;Monstrosity;Any;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconic Amalgam;Gargantuan;Dragon;Unaligned;2    ;450    ;;;;;;;;;;;;;Sandy Petersen's Cthulhu Mythos 402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconic Shard;Huge;Undead;Neutral;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracotaur;Large;Dragon;Chaotic Neutral;2    ;450    ;;;;;;;;;;;;;Creature Codex 110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draegloth;Small;Fiend;Neutral Evil;2    ;450    ;;;;;;;;;;;;x;Monster a Day Compendium 2.0 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draegloth;Large;Fiend;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draegloth;Large;Fiend;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Volo's Guide to Monsters 141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draft Horse;Large;Beast;Unaligned;2    ;450    ;;;;;;;;;;;x;;Monster Manual 321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragon Blessed;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;x;;Fizban's Treasury of Dragons 188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragon Chosen;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;x;;Fizban's Treasury of Dragons 189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragon Eel;Huge;Dragon;Neutral;2    ;450    ;;x;;;;;;;;;;;Tome of Beasts 146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragon Speaker;Small;Humanoid;Any;2    ;450    ;;;;;;;;;;;x;;Fizban's Treasury of Dragons 189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragon Tortoise;Gargantuan;Dragon;Neutral;2    ;450    ;;x;;;;;;;;;;;Candlekeep Mysteries 205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragon Turtle;Gargantuan;Dragon;Neutral;2    ;450    ;;x;;;;;;;;;;;Monster Manual 119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragon Turtle Wyrmling;Large;Dragon;Neutral;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonbait;Medium;Humanoid;Lawful Good;2    ;450    ;;;;;;;;;;;;;Tomb of Annihilation 218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonblood Ooze;Large;Ooze;Unaligned;2    ;450    ;;;;;;;;;;;x;;Fizban's Treasury of Dragons 182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonbone Golem;Large;Construct;Unaligned;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonborn of Bahamut;Medium;Humanoid;Lawful Good;2    ;450    ;;;;;;;;;;;x;;Fizban's Treasury of Dragons 184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonborn of Sardior;Medium;Humanoid;Neutral;2    ;450    ;;;;;;;;;;;x;;Fizban's Treasury of Dragons 185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonborn of Tiamat;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;x;;Fizban's Treasury of Dragons 185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonclaw;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Hoard of the Dragon Queen 89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonfang;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Rise of Tiamat 89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonflesh Abomination;Huge;Monstrosity;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonflesh Golem;Large;Construct;Unaligned;2    ;450    ;x;x;x;x;x;x;x;x;x;x;x;;Tome of Beasts 2 180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonflesh Grafter;Large;Monstrosity;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonleaf Tree;Large;Plant;Unaligned;2    ;450    ;;;;;;;;;;;;;Tome of Beasts 147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonnel;Large;Dragon;Neutral;2    ;450    ;;;;;;;;;;;;;Fizban's Treasury of Dragons 190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonslayer Ornstein;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;x;;Monster a Day Compendium 2.0 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonsoul;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Rise of Tiamat 89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dragonwing;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Hoard of the Dragon Queen 89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drakon;Large;Beast;Unaligned;2    ;450    ;;x;;;;;;;;;;;Tome of Beasts 157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dralmorrer Borngray;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Hoard of the Dragon Queen 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drannin Splithelm;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Princes of the Apocalypse 209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dread Doppelganger;Medium;Monstrosity;Neutral Evil;2    ;450    ;;;;;;;;;;;x;;Minsc and Boo's Journal of Villainy 139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dread Walker Excavator;Large;Construct;Neutral;2    ;450    ;;;;;;;;;;;;;Tome of Beasts 2 129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dread Warrior;Medium;Undead;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Tales from the Yawning Portal 233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dream Eater;Large;Aberration;Chaotic Evil;2    ;450    ;;;;;;;;;;;x;x;Monster a Day Compendium 2.0 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dream Eater;Medium;Fiend;Lawful Neutral;2    ;450    ;;;;;;;;;;;x;;Tome of Beasts 158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dream Squire;Medium;Fey;Neutral;2    ;450    ;;;;;;;;;;;x;;Creature Codex 134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dream Wraith;Medium;Undead;Neutral Evil;2    ;450    ;;;;;;;;;;;x;;Creature Codex 135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dreamlands Cat;Tiny;Beast;Any;2    ;450    ;;;;;;;;;;;x;x;Sandy Petersen's Cthulhu Mythos 289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dreamlands Cat, Saturnian;Medium;Beast;Any;2    ;450    ;;;;;;;;;;;;x;Sandy Petersen's Cthulhu Mythos 288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dreamlands Cat, Uranian;Medium;Beast;Any;2    ;450    ;;;;;;;;;;;;x;Sandy Petersen's Cthulhu Mythos 289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dretch;Small;Fiend;Chaotic Evil;2    ;450    ;;;;;;;;;;;;x;Monster Manual 57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drider;Large;Monstrosity;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Monster Manual 120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Droki;Small;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Out of the Abyss 231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Droth;Huge;Aberration;Lawful Neutral;2    ;450    ;;;;;;;;;;;;x;Creature Codex 333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Monster Manual 128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Arachnomancer;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Arachnomancer;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Elite Warrior;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Monster Manual 128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Favored Consort;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Favored Consort;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Gunslinger;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;x;;Waterdeep: Dragon Heist 201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow House Captain;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow House Captain;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Inquisitor;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Inquisitor;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Mage;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Monster Manual 129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Matron Mother;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Matron Mother;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Mech;Large;Fey;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Monster a Day Compendium 2.0 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Priestess of Lolth;Medium;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Monster Manual 129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Shadowblade;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Shadowblade;Medium;Humanoid;Chaotic Evil;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drow Spore Servant;Medium;Plant;Unaligned;2    ;450    ;;;;;;;;;;;;;Out of the Abyss 229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drowned Ascetic;Medium;Undead;Chaotic Evil;2    ;450    ;;x;;;;;;;;;;;Ghosts of Saltmarsh 233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drowned Assassin;Medium;Undead;Chaotic Evil;2    ;450    ;;x;;;;;;;;;;;Ghosts of Saltmarsh 234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drowned Blade;Medium;Undead;Chaotic Evil;2    ;450    ;;x;;;;;;;;;;;Ghosts of Saltmarsh 235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drowned Maiden;Medium;Undead;Neutral Evil;2    ;450    ;;x;;;;;;;;;x;;Tome of Beasts 159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drowned Master;Medium;Undead;Chaotic Evil;2    ;450    ;;x;;;;;;;;;;;Ghosts of Saltmarsh 235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Druid;Medium;Humanoid;Any;2    ;450    ;x;x;x;x;x;x;x;x;x;x;;;Monster Manual 346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Druid of the Old Ways;Medium;Humanoid;Chaotic Neutral;2    ;450    ;;;;;;;;;;;x;;Guildmaster's Guide to Ravnica 239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dryad;Medium;Fey;Neutral;2    ;450    ;;;;;;;;;;;;;Monster Manual 121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Du'ulora Quori;Large;Aberration;Lawful Evil;2    ;450    ;;;;;;;;;;;x;x;DM's Guild: Exploring Eberron 245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dualist Shadow Fey Elves;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;x;Tome of Beasts 171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Monster Manual 122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Darkhaft;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Out of the Abyss 226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Despot;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Despot;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Hammerer;Medium;Construct;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Hammerer;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Kavalrachni;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Keeper Of The Flame;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Out of the Abyss 226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Mind Master;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Screamer;Medium;Construct;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Screamer;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Soulblade;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Soulblade;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Spore Servant;Medium;Plant;Unaligned;2    ;450    ;;;;;;;;;;;;;Out of the Abyss 229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Spy;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Tales from the Yawning Portal 234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Stone Guard;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Stone Guard;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Warlord;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Warlord;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Xarrorn;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;;;Mordenkainen Presents: Monsters of the Multiverse 111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duergar Xarrorn;Medium;Humanoid;Lawful Neutral;2    ;450    ;;;;;;;;;;;;;Mordenkainen's Tome of Foes 193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dullahan;Large;Fey;Lawful Neutral;2    ;450    ;;;;;;;;;;;;x;Tome of Beasts 161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dullahan;Medium;Undead;Not Provided;2    ;450    ;x;x;x;x;x;x;x;x;x;x;x;;Van Richten's Guide to Ravenloft 233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dune Mimic;Huge;Monstrosity;Neutral;2    ;450    ;;;x;x;x;x;x;x;x;x;;;Tome of Beasts 162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duodrone;Medium;Construct;Lawful Neutral;2    ;450    ;;;;;;;;;;;;x;Monster Manual 225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durnan;Medium;Humanoid;Neutral;2    ;450    ;;;;;;;;;;;x;;Waterdeep: Dragon Heist 203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dusk Hag;Medium;Fey;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Eberron: Rising from the Last War 292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duskdale Wurm;Large;Beast;Unaligned;2    ;450    ;;;;;;;;;;;;;Monster a Day Compendium 2.0 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duskdale Wurm;Huge;Beast;Unaligned;2    ;450    ;;;;;;;;;;;;;Monster a Day Compendium 2.0 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duskthorn Dryad;Medium;Fey;Any Chaotic;2    ;450    ;;;;;;;;;;;;;Tome of Beasts 160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dust Digger;Large;Aberration;Unaligned;2    ;450    ;;;x;x;x;x;x;x;x;x;;;Fifth Edition Foes 88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dust Goblin;Small;Humanoid;Neutral Evil;2    ;450    ;;;x;x;x;x;x;x;x;x;;;Tome of Beasts 232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dust Goblin Cheiftan;Small;Humanoid;Neutral Evil;2    ;450    ;;;;;;;;;;;;;Creature Codex 136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dust Mephit;Small;Elemental;Neutral Evil;2    ;450    ;;;x;x;x;x;x;x;x;x;;;Monster Manual 215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dvarapala;Huge;Giant;Any;2    ;450    ;;;;;;;;;;;x;;Creature Codex 137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwarven Ringmage;Medium;Humanoid;Any;2    ;450    ;;;;;;;;;;;x;;Tome of Beasts 420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwarven Worker;Medium;Humanoid;Any Non-Good;2    ;450    ;;;;;;;;;;;;;Infernal Machine Rebuild 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dybbuk;Medium;Fiend;Chaotic Evil;2    ;450    ;;;x;x;x;x;x;x;x;x;x;;Mordenkainen Presents: Monsters of the Multiverse 113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dybbuk;Medium;Fiend;Chaotic Evil;2    ;450    ;;;x;x;x;x;x;x;x;x;x;x;Mordenkainen's Tome of Foes 132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dyrrn;Medium;Aberration;Chaotic Evil;2    ;450    ;;;;;;;;;;;;x;Eberron: Rising from the Last War 288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dzaan's Simulacrum;Medium;Construct;Lawful Evil;2    ;450    ;;;;;;;;;;;;;Icewind Dale: Rime of the Frostmaiden 270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
